Tid;Temp_Topp[C];Temp_boks[C];Kjølevann_inn[C];Kjølevann_ut[C];Turtall[RPM];Dreiemoment[%];Effekt[W];Kjølevann[l/min]
15:49:59;-109,510776;-53,136977;12,073348;16,785269;-1394,384305;-123,672841;3611,731333;8,738382
15:50:09;-109,970129;-53,705073;12,052558;16,792135;-1406,084996;-123,830543;3646,682603;8,708426
15:50:19;-110,275089;-54,328501;12,041919;16,796752;-1396,259463;-123,860063;3622,063329;8,625563
15:50:29;-110,490233;-54,891442;12,030283;16,859518;-1397,583766;-124,270236;3637,504873;8,835017
15:50:39;-110,853813;-55,456645;12,024070;16,804806;-1394,434864;-124,293596;3629,991420;8,811814
15:50:49;-111,064953;-55,957390;12,028639;16,809836;-1396,851024;-124,607226;3645,456587;8,799811
15:50:59;-111,215883;-56,445769;12,002843;16,777145;-1400,132558;-124,632113;3654,750433;8,930053
15:51:09;-111,512419;-56,973594;11,997654;16,751835;-1401,843575;-124,834563;3665,160644;8,955500
15:51:19;-111,715773;-57,439514;11,975717;16,702693;-1399,817410;-125,204029;3670,695081;9,031741
15:51:29;-111,932178;-57,843178;11,974202;16,704513;-1397,283706;-125,100784;3661,029586;8,898332
15:51:39;-112,126281;-58,243199;11,948108;16,524672;-1387,678124;-125,591730;3650,130557;9,555649
15:51:49;-112,355555;-58,583875;11,939644;16,479438;-1392,329900;-124,363526;3626,551010;9,230104
15:51:59;-112,563941;-59,022938;11,931335;16,520637;-1400,663723;-125,632289;3685,477520;9,242855
15:52:09;-112,631327;-59,397285;11,912068;16,463840;-1391,626709;-126,020581;3673,016213;9,356880
15:52:19;-112,689393;-59,760983;11,904967;16,422978;-1394,780216;-125,458422;3664,917579;9,312417
15:52:29;-112,840747;-60,034242;11,900340;16,377443;-1380,627209;-125,871503;3639,673784;9,515163
15:52:39;-113,003628;-60,191903;11,889389;16,421562;-1389,775849;-125,183281;3643,759509;9,405068
15:52:49;-113,092036;-57,430544;11,901195;16,366557;-1395,250977;-125,678762;3672,593337;9,487268
15:52:59;-113,244120;-55,280492;11,885274;16,440933;-1387,320273;-125,714245;3652,749052;9,246545
15:53:09;-113,350511;-53,562349;11,865743;16,368802;-1402,477158;-125,574875;3688,562669;9,445910
15:53:19;-113,392176;-52,301375;11,852602;16,333493;-1399,185135;-125,904916;3689,576206;9,529888
15:53:29;-113,539556;-51,655138;11,852148;16,273716;-1390,201960;-126,002051;3668,716251;9,525457
15:53:39;-113,679709;-51,491834;11,864758;16,301200;-1395,128199;-126,082627;3684,070892;9,514526
15:53:49;-113,821270;-51,566886;11,888192;16,331228;-1401,262504;-126,132697;3701,739021;9,499006
15:53:59;-113,934669;-51,457555;11,851262;16,300910;-1401,633468;-126,323664;3708,324991;9,341549
15:54:09;-114,069699;-51,866856;11,898276;16,480542;-1387,319619;-126,131022;3664,857180;9,021922
15:54:19;-114,147520;-52,336767;11,886650;16,539210;-1383,998697;-126,442582;3665,115367;9,360295
15:54:29;-114,247779;-52,718311;11,913992;16,467979;-1398,216689;-125,934337;3687,884039;9,332354
15:54:39;-114,244350;-52,970638;11,904043;16,422215;-1394,771679;-125,804233;3674,997002;9,316026
15:54:49;-114,286915;-53,111753;11,936196;16,487420;-1399,656552;-126,068236;3695,606929;9,138402
15:54:59;-114,326972;-53,579868;11,944380;16,367425;-1404,838175;-126,156303;3711,879493;9,454819
15:55:09;-114,385772;-54,100359;11,932295;16,362830;-1391,032507;-125,262231;3649,354349;9,591659
15:55:19;-114,457425;-54,354903;11,933601;16,359691;-1395,397391;-125,773334;3675,742609;9,535263
15:55:29;-114,575343;-54,701564;11,941240;16,532891;-1398,229163;-125,271546;3668,507448;8,707703
15:55:39;-114,570348;-55,066464;11,925569;16,606396;-1396,120273;-124,529804;3641,285660;8,771483
15:55:49;-114,405864;-55,386972;11,910417;16,629669;-1393,550468;-125,122616;3651,885311;8,715792
15:55:59;-114,354626;-55,472427;11,918669;16,669135;-1392,015413;-124,960971;3643,149965;8,569990
15:56:09;-114,303373;-55,558599;11,918667;16,623938;-1395,510974;-125,026614;3654,217057;8,909677
15:56:19;-114,290197;-55,750052;11,895344;16,546291;-1393,520262;-124,656064;3638,189460;8,715358
15:56:29;-114,346400;-55,933606;11,886863;16,602541;-1400,057712;-124,823277;3660,160530;8,599460
15:56:39;-114,273624;-55,878922;11,899275;16,680091;-1397,076897;-125,661759;3676,902049;8,589094
15:56:49;-114,257063;-55,950089;11,878858;16,693833;-1393,546531;-126,089181;3680,085537;8,699071
15:56:59;-114,314426;-56,048386;11,870971;16,704049;-1394,048146;-126,764737;3701,134325;8,572218
15:57:09;-114,361742;-56,059442;11,871092;16,687996;-1398,519374;-126,038076;3691,720939;8,869590
15:57:19;-114,415796;-56,105038;11,862256;16,644141;-1401,753626;-126,732852;3720,655928;8,782542
15:57:29;-114,443136;-56,238162;11,833435;16,602249;-1404,060798;-126,441300;3718,206283;8,955719
15:57:39;-114,529155;-56,234258;11,844191;16,465954;-1394,588488;-125,156225;3655,587175;9,607115
15:57:49;-114,422563;-56,461532;11,840225;16,345898;-1392,749449;-125,627755;3664,520934;9,353348
15:57:59;-114,372276;-56,391314;11,813747;16,345828;-1382,658656;-126,177297;3653,884468;9,446666
15:58:09;-114,361968;-56,328539;11,807454;16,292286;-1397,470171;-125,627558;3676,936055;9,307337
15:58:19;-114,484241;-56,449028;11,778209;16,306747;-1396,354015;-125,792997;3678,837601;9,314005
15:58:29;-114,396687;-56,482213;11,771907;16,322989;-1400,442459;-125,406873;3678,283701;9,496629
15:58:39;-114,602041;-56,573093;11,776080;16,199930;-1390,219697;-125,724003;3660,667216;9,415599
15:58:49;-114,575514;-56,642988;11,749417;16,169220;-1392,920819;-125,351136;3656,901948;9,553835
15:58:59;-114,521255;-56,553263;11,755349;16,186081;-1396,924569;-124,779269;3650,682009;9,460303
15:59:09;-114,484596;-56,583257;11,748522;16,145800;-1392,058086;-124,757880;3637,340503;9,495343
15:59:19;-114,421465;-56,904044;11,747783;16,151569;-1398,315839;-124,887837;3657,497461;9,525664
15:59:29;-114,416355;-56,935345;11,739831;16,166325;-1315,317151;-117,771334;3244,357401;9,566092
15:59:39;-114,318798;-56,899403;11,731340;15,033283;-565,387725;-104,945415;1242,706182;9,460439
15:59:49;-113,844639;-56,980769;11,749535;13,223089;-9,049751;-24,892053;4,717979;9,639138
15:59:59;-113,034116;-57,019707;11,754603;12,823876;22,131406;-27,031256;-12,529503;9,311917
16:00:09;-112,195905;-57,043518;11,759288;12,656833;0,146175;0,241062;0,000738;9,214032
16:00:19;-111,323823;-57,166320;11,784215;12,535451;-0,018152;0,231452;-0,000088;9,329410
16:00:29;-110,432780;-57,132403;11,786972;12,465849;0,049577;0,253777;0,000264;9,263827
